"id","zip_code","name_th","name_en","amphure_id","created_at","updated_at","deleted_at"
"104203","10220","คลองถนน","Khlong Thanon","42","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104301","10230","คันนายาว","Khan Na Yao","43","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104401","10240","สะพานสูง","Sapan Sung","44","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104501","10310","วังทองหลาง","Wang Thonglang","45","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104601","10510","สามวาตะวันตก","Sam Wa Tawantok","46","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104602","10510","สามวาตะวันออก","Sam Wa Tawan-ok","46","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104603","10510","บางชัน","Bang Chan","46","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104604","10510","ทรายกองดิน","Sai Kong Din","46","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104605","10510","ทรายกองดินใต้","Sai Kong Din Tai","46","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104701","10260","บางนา","Bang Na","47","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104801","10170","ทวีวัฒนา","Thawi Watthana","48","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104802","10170","ศาลาธรรมสพน์","Sala Thammasop","48","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104901","10140","บางมด","Bang Mot","49","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104902","10140","ทุ่งครุ","Thung Khru","49","9/8/2019 03:33:09","9/8/2019 03:33:09",
"105001","10150","บางบอน","Bang Bon","50","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110101","10270","ปากน้ำ","Pak Nam","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110102","10270","สำโรงเหนือ","Samrong Nuea","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110103","10270","บางเมือง","Bang Mueang","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110104","10280","ท้ายบ้าน","Thai Ban","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110108","10280","บางปูใหม่","Bang Pu Mai","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110110","10280","แพรกษา","Phraek Sa","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110111","10270","บางโปรง","Bang Prong","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110112","10270","บางปู","Bang Pu","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110113","10270","บางด้วน","Bang Duan","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110114","10270","บางเมืองใหม่","Bang Mueang Mai","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110115","10270","เทพารักษ์","Thepharak","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110116","10280","ท้ายบ้านใหม่","Thai Ban Mai","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110117","10280","แพรกษาใหม่","Phraek Sa Mai","52","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110201","10560","บางบ่อ","Bang Bo","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110202","10560","บ้านระกาศ","Ban Rakat","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110203","10560","บางพลีน้อย","Bang Phli Noi","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110204","10560","บางเพรียง","Bang Phriang","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110205","10550","คลองด่าน","Khlong Dan","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110206","10560","คลองสวน","Khlong Suan","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110207","10560","เปร็ง","Preng","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110208","10560","คลองนิยมยาตรา","Khlong Niyom Yattra","53","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110301","10540","บางพลีใหญ่","Bang Phli Yai","54","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110302","10540","บางแก้ว","Bang Kaeo","54","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110303","10540","บางปลา","Bang Pla","54","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110304","10540","บางโฉลง","Bang Chalong","54","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110308","10540","ราชาเทวะ","Racha Thewa","54","9/8/2019 03:33:09","9/8/2019 03:33:09",
"110309","10540","หนองปรือ","Nong Prue","54","9/8/2019 03:33:09","9/8/2019 03:33:09",
