id,zip_code,name_th,name_en,prefix_th,prefix_en,district_id,lat,long,created_at,updated_at,deleted_at
102209,10160,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102210,10160,คูหาสวรรค์,Khuha Sawan,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102302,10160,หนองแขม,Nong Khaem,แขวง,Khwaeng,1023,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102303,10160,หนองค้างพลู,Nong Khang Phlu,แขวง,Khwaeng,1023,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102401,10140,ราษฎร์บูรณะ,Rat Burana,แขวง,Khwaeng,1024,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102402,10140,บางปะกอก,Bang Pakok,แขวง,Khwaeng,1024,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102501,10700,บางพลัด,Bang Phlat,แขวง,Khwaeng,1025,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102502,10700,บางอ้อ,Bang O,แขวง,Khwaeng,1025,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102503,10700,บางบำหรุ,Bang Bamru,แขวง,Khwaeng,1025,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102504,10700,บางยี่ขัน,Bang Yi Khan,แขวง,Khwaeng,1025,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102601,10400,ดินแดง,Din Daeng,แขวง,Khwaeng,1026,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102701,10240,คลองกุ่ม,Khlong Kum,แขวง,Khwaeng,1027,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102702,10240,สะพานสูง,Saphan Sung,แขวง,Khwaeng,1027,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102703,10240,คันนายาว,Khan Na Yao,แขวง,Khwaeng,1027,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102801,10120,ทุ่งวัดดอน,Thung Wat Don,แขวง,Khwaeng,1028,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102802,10120,ยานนาวา,Yan Nawa,แขวง,Khwaeng,1028,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102803,10120,ทุ่งมหาเมฆ,Thung Maha Mek,แขวง,Khwaeng,1028,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102901,10800,บางซื่อ,Bang Sue,แขวง,Khwaeng,1029,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103001,10900,ลาดยาว,Lat Yao,แขวง,Khwaeng,1030,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103002,10900,เสนานิคม,Sena Nikhom,แขวง,Khwaeng,1030,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103003,10900,จันทรเกษม,Chan Kasem,แขวง,Khwaeng,1030,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103004,10900,จอมพล,Chom Phon,แขวง,Khwaeng,1030,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103005,10900,จตุจักร,Chatuchak,แขวง,Khwaeng,1030,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103101,10120,บางคอแหลม,Bang Kho Laem,แขวง,Khwaeng,1031,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103102,10120,วัดพระยาไกร,Wat Phraya Krai,แขวง,Khwaeng,1031,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103103,10120,บางโคล่,Bang Khlo,แขวง,Khwaeng,1031,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103201,10250,ประเวศ,Prawet,แขวง,Khwaeng,1032,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103202,10250,หนองบอน,Nong Bon,แขวง,Khwaeng,1032,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103203,10250,ดอกไม้,Dokmai,แขวง,Khwaeng,1032,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103204,10250,สวนหลวง,Suan Luang,แขวง,Khwaeng,1032,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103301,10110,คลองเตย,Khlong Toei,แขวง,Khwaeng,1033,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103302,10110,คลองตัน,Khlong Tan,แขวง,Khwaeng,1033,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103303,10110,พระโขนง,Phra Khanong,แขวง,Khwaeng,1033,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103304,10110,คลองเตยเหนือ,Khlong Toei Nua,แขวง,Khwaeng,1033,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103305,10110,คลองตันเหนือ,Khlong Tan Nua,แขวง,Khwaeng,1033,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103306,10110,พระโขนงเหนือ,Phra Khanong Nua,แขวง,Khwaeng,1033,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103401,10250,สวนหลวง,Suan Luang,แขวง,Khwaeng,1034,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103501,10150,บางขุนเทียน,Bang Khun Thian,แขวง,Khwaeng,1035,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103502,10150,บางค้อ,Bang Kho,แขวง,Khwaeng,1035,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103503,10150,บางมด,Bang Mot,แขวง,Khwaeng,1035,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103504,10150,จอมทอง,Chom Thong,แขวง,Khwaeng,1035,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103602,10210,สีกัน,Si Kan,แขวง,Khwaeng,1036,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103701,10400,ทุ่งพญาไท,Thung Phaya Thai,แขวง,Khwaeng,1037,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
103702,10400,ถนนพญาไท,Thanon Phaya Thai,แขวง,Khwaeng,1037,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
